0.02	0	0	0
3.76	-nan	-nan	-nan
3.78	-nan	-nan	-nan
3.8	-nan	-nan	-nan
3.82	-nan	-nan	-nan
3.84	-nan	-nan	-nan
3.86	-nan	-nan	-nan
3.88	-nan	-nan	-nan
3.9	-nan	-nan	-nan
3.92	-nan	-nan	-nan
3.94	-nan	-nan	-nan
3.96	-nan	-nan	-nan
3.98	-nan	-nan	-nan
4	-nan	-nan	-nan
4.02	-nan	-nan	-nan
4.04	-nan	-nan	-nan
4.06	-nan	-nan	-nan
4.08	-nan	-nan	-nan
4.1	-nan	-nan	-nan
4.12	-nan	-nan	-nan
4.14	-nan	-nan	-nan
4.16	-nan	-nan	-nan
4.18	-nan	-nan	-nan
4.2	-nan	-nan	-nan
4.22	-nan	-nan	-nan
4.24	-nan	-nan	-nan
4.26	-nan	-nan	-nan
4.28	-nan	-nan	-nan
4.3	-nan	-nan	-nan
4.32	-nan	-nan	-nan
4.34	-nan	-nan	-nan
4.36	-nan	-nan	-nan
4.38	-nan	-nan	-nan
4.4	-nan	-nan	-nan
4.42	-nan	-nan	-nan
4.44	-nan	-nan	-nan
4.46	-nan	-nan	-nan
4.48	-nan	-nan	-nan
4.5	-nan	-nan	-nan
4.52	-nan	-nan	-nan
4.54	-nan	-nan	-nan
4.56	-nan	-nan	-nan
4.58	-nan	-nan	-nan
4.6	-nan	-nan	-nan
4.62	-nan	-nan	-nan
4.64	-nan	-nan	-nan
4.66	-nan	-nan	-nan
4.68	-nan	-nan	-nan
4.7	-nan	-nan	-nan
4.72	-nan	-nan	-nan
4.74	-nan	-nan	-nan
4.76	-nan	-nan	-nan
4.78	-nan	-nan	-nan
4.8	-nan	-nan	-nan
4.82	-nan	-nan	-nan
4.84	-nan	-nan	-nan
4.86	-nan	-nan	-nan
4.88	-nan	-nan	-nan
4.9	-nan	-nan	-nan
4.92	-nan	-nan	-nan
4.94	-nan	-nan	-nan
4.96	-nan	-nan	-nan
4.98	-nan	-nan	-nan
5	-nan	-nan	-nan
5.02	-nan	-nan	-nan
5.04	-nan	-nan	-nan
5.06	-nan	-nan	-nan
5.08	-nan	-nan	-nan
5.1	-nan	-nan	-nan
5.12	-nan	-nan	-nan
5.14	-nan	-nan	-nan
5.16	-nan	-nan	-nan
5.18	-nan	-nan	-nan
5.2	-nan	-nan	-nan
5.22	-nan	-nan	-nan
5.24	-nan	-nan	-nan
5.26	-nan	-nan	-nan
5.28	-nan	-nan	-nan
5.3	-nan	-nan	-nan
5.32	-nan	-nan	-nan
5.34	-nan	-nan	-nan
5.36	-nan	-nan	-nan
5.38	-nan	-nan	-nan
5.4	-nan	-nan	-nan
5.42	-nan	-nan	-nan
5.44	-nan	-nan	-nan
5.46	-nan	-nan	-nan
5.48	-nan	-nan	-nan
5.5	-nan	-nan	-nan
5.52	-nan	-nan	-nan
5.54	-nan	-nan	-nan
5.56	-nan	-nan	-nan
5.58	-nan	-nan	-nan
5.6	-nan	-nan	-nan
5.62	-nan	-nan	-nan
5.64	-nan	-nan	-nan
5.66	-nan	-nan	-nan
5.68	-nan	-nan	-nan
5.7	-nan	-nan	-nan
5.72	-nan	-nan	-nan
5.74	-nan	-nan	-nan
5.76	-nan	-nan	-nan
5.78	-nan	-nan	-nan
5.8	-nan	-nan	-nan
5.82	-nan	-nan	-nan
5.84	-nan	-nan	-nan
5.86	-nan	-nan	-nan
5.88	-nan	-nan	-nan
5.9	-nan	-nan	-nan
5.92	-nan	-nan	-nan
5.94	-nan	-nan	-nan
5.96	-nan	-nan	-nan
5.98	-nan	-nan	-nan
6	-nan	-nan	-nan
6.02	-nan	-nan	-nan
6.04	-nan	-nan	-nan
6.06	-nan	-nan	-nan
6.08	-nan	-nan	-nan
6.1	-nan	-nan	-nan
6.12	-nan	-nan	-nan
6.14	-nan	-nan	-nan
6.16	-nan	-nan	-nan
6.18	-nan	-nan	-nan
6.2	-nan	-nan	-nan
6.22	-nan	-nan	-nan
6.24	-nan	-nan	-nan
6.26	-nan	-nan	-nan
6.28	-nan	-nan	-nan
6.3	-nan	-nan	-nan
6.32	-nan	-nan	-nan
6.34	-nan	-nan	-nan
6.36	-nan	-nan	-nan
6.38	-nan	-nan	-nan
6.4	-nan	-nan	-nan
6.42	-nan	-nan	-nan
6.44	-nan	-nan	-nan
6.46	-nan	-nan	-nan
6.48	-nan	-nan	-nan
6.5	-nan	-nan	-nan
6.52	-nan	-nan	-nan
6.54	-nan	-nan	-nan
6.56	-nan	-nan	-nan
6.58	-nan	-nan	-nan
6.6	-nan	-nan	-nan
6.62	-nan	-nan	-nan
6.64	-nan	-nan	-nan
6.66	-nan	-nan	-nan
6.68	-nan	-nan	-nan
6.7	-nan	-nan	-nan
6.72	-nan	-nan	-nan
6.74	-nan	-nan	-nan
6.76	-nan	-nan	-nan
6.78	-nan	-nan	-nan
6.8	-nan	-nan	-nan
6.82	-nan	-nan	-nan
6.84	-nan	-nan	-nan
6.86	-nan	-nan	-nan
6.88	-nan	-nan	-nan
6.9	-nan	-nan	-nan
6.92	-nan	-nan	-nan
6.94	-nan	-nan	-nan
6.96	-nan	-nan	-nan
6.98	-nan	-nan	-nan
7	-nan	-nan	-nan
7.02	-nan	-nan	-nan
7.04	-nan	-nan	-nan
7.06	-nan	-nan	-nan
7.08	-nan	-nan	-nan
7.1	-nan	-nan	-nan
7.12	-nan	-nan	-nan
7.14	-nan	-nan	-nan
7.16	-nan	-nan	-nan
7.18	-nan	-nan	-nan
7.2	-nan	-nan	-nan
7.22	-nan	-nan	-nan
7.24	-nan	-nan	-nan
7.26	-nan	-nan	-nan
7.28	-nan	-nan	-nan
7.3	-nan	-nan	-nan
7.32	-nan	-nan	-nan
7.34	-nan	-nan	-nan
7.36	-nan	-nan	-nan
7.38	-nan	-nan	-nan
7.4	-nan	-nan	-nan
7.42	-nan	-nan	-nan
7.44	-nan	-nan	-nan
7.46	-nan	-nan	-nan
7.48	-nan	-nan	-nan
7.5	-nan	-nan	-nan
7.52	-nan	-nan	-nan
7.54	-nan	-nan	-nan
7.56	-nan	-nan	-nan
7.58	-nan	-nan	-nan
7.6	-nan	-nan	-nan
7.62	-nan	-nan	-nan
7.64	-nan	-nan	-nan
7.66	-nan	-nan	-nan
7.68	-nan	-nan	-nan
7.7	-nan	-nan	-nan
7.72	-nan	-nan	-nan
7.74	-nan	-nan	-nan
7.76	-nan	-nan	-nan
7.78	-nan	-nan	-nan
7.8	-nan	-nan	-nan
7.82	-nan	-nan	-nan
7.84	-nan	-nan	-nan
7.86	-nan	-nan	-nan
7.88	-nan	-nan	-nan
7.9	-nan	-nan	-nan
7.92	-nan	-nan	-nan
7.94	-nan	-nan	-nan
7.96	-nan	-nan	-nan
7.98	-nan	-nan	-nan
8	-nan	-nan	-nan
8.02	-nan	-nan	-nan
8.04	-nan	-nan	-nan
8.06	-nan	-nan	-nan
8.08	-nan	-nan	-nan
8.1	-nan	-nan	-nan
8.12	-nan	-nan	-nan
8.14	-nan	-nan	-nan
8.16	-nan	-nan	-nan
8.18	-nan	-nan	-nan
8.2	-nan	-nan	-nan
8.22	-nan	-nan	-nan
8.24	-nan	-nan	-nan
8.26	-nan	-nan	-nan
8.28	-nan	-nan	-nan
8.3	-nan	-nan	-nan
8.32	-nan	-nan	-nan
8.34	-nan	-nan	-nan
8.36	-nan	-nan	-nan
8.38	-nan	-nan	-nan
8.4	-nan	-nan	-nan
8.42	-nan	-nan	-nan
8.44	-nan	-nan	-nan
8.46	-nan	-nan	-nan
8.48	-nan	-nan	-nan
8.5	-nan	-nan	-nan
8.52	-nan	-nan	-nan
8.54	-nan	-nan	-nan
8.56	-nan	-nan	-nan
8.58	-nan	-nan	-nan
8.6	-nan	-nan	-nan
8.62	-nan	-nan	-nan
8.64	-nan	-nan	-nan
8.66	-nan	-nan	-nan
8.68	-nan	-nan	-nan
8.7	-nan	-nan	-nan
8.72	-nan	-nan	-nan
8.74	-nan	-nan	-nan
8.76	-nan	-nan	-nan
8.78	-nan	-nan	-nan
8.8	-nan	-nan	-nan
8.82	-nan	-nan	-nan
8.84	-nan	-nan	-nan
8.86	-nan	-nan	-nan
8.88	-nan	-nan	-nan
8.9	-nan	-nan	-nan
8.92	-nan	-nan	-nan
8.94	-nan	-nan	-nan
8.96	-nan	-nan	-nan
8.98	-nan	-nan	-nan
9	-nan	-nan	-nan
9.02	-nan	-nan	-nan
9.04	-nan	-nan	-nan
9.06	-nan	-nan	-nan
9.08	-nan	-nan	-nan
9.1	-nan	-nan	-nan
9.12	-nan	-nan	-nan
9.14	-nan	-nan	-nan
9.16	-nan	-nan	-nan
9.18	-nan	-nan	-nan
9.2	-nan	-nan	-nan
9.22	-nan	-nan	-nan
9.24	-nan	-nan	-nan
9.26	-nan	-nan	-nan
9.28	-nan	-nan	-nan
9.3	-nan	-nan	-nan
9.32	-nan	-nan	-nan
9.34	-nan	-nan	-nan
9.36	-nan	-nan	-nan
9.38	-nan	-nan	-nan
9.4	-nan	-nan	-nan
9.42	-nan	-nan	-nan
9.44	-nan	-nan	-nan
9.46	-nan	-nan	-nan
9.48	-nan	-nan	-nan
9.5	-nan	-nan	-nan
9.52	-nan	-nan	-nan
9.54	-nan	-nan	-nan
9.56	-nan	-nan	-nan
9.58	-nan	-nan	-nan
9.6	-nan	-nan	-nan
9.62	-nan	-nan	-nan
9.64	-nan	-nan	-nan
9.66	-nan	-nan	-nan
9.68	-nan	-nan	-nan
9.7	-nan	-nan	-nan
9.72	-nan	-nan	-nan
9.74	-nan	-nan	-nan
9.76	-nan	-nan	-nan
9.78	-nan	-nan	-nan
9.8	-nan	-nan	-nan
9.82	-nan	-nan	-nan
9.84	-nan	-nan	-nan
9.86	-nan	-nan	-nan
9.88	-nan	-nan	-nan
9.9	-nan	-nan	-nan
9.92	-nan	-nan	-nan
9.94	-nan	-nan	-nan
9.96	-nan	-nan	-nan
9.98	-nan	-nan	-nan
10	-nan	-nan	-nan
10.02	-nan	-nan	-nan
10.04	-nan	-nan	-nan
10.06	-nan	-nan	-nan
10.08	-nan	-nan	-nan
10.1	-nan	-nan	-nan
10.12	-nan	-nan	-nan
10.14	-nan	-nan	-nan
10.16	-nan	-nan	-nan
10.18	-nan	-nan	-nan
10.2	-nan	-nan	-nan
10.22	-nan	-nan	-nan
10.24	-nan	-nan	-nan
10.26	-nan	-nan	-nan
10.28	-nan	-nan	-nan
10.3	-nan	-nan	-nan
10.32	-nan	-nan	-nan
10.34	-nan	-nan	-nan
10.36	-nan	-nan	-nan
10.38	-nan	-nan	-nan
10.4	-nan	-nan	-nan
10.42	-nan	-nan	-nan
10.44	-nan	-nan	-nan
10.46	-nan	-nan	-nan
10.48	-nan	-nan	-nan
10.5	-nan	-nan	-nan
10.52	-nan	-nan	-nan
10.54	-nan	-nan	-nan
10.56	-nan	-nan	-nan
10.58	-nan	-nan	-nan
10.6	-nan	-nan	-nan
10.62	-nan	-nan	-nan
10.64	-nan	-nan	-nan
10.66	-nan	-nan	-nan
10.68	-nan	-nan	-nan
10.7	-nan	-nan	-nan
10.72	-nan	-nan	-nan
10.74	-nan	-nan	-nan
10.76	-nan	-nan	-nan
10.78	-nan	-nan	-nan
10.8	-nan	-nan	-nan
10.82	-nan	-nan	-nan
10.84	-nan	-nan	-nan
10.86	-nan	-nan	-nan
10.88	-nan	-nan	-nan
10.9	-nan	-nan	-nan
10.92	-nan	-nan	-nan
10.94	-nan	-nan	-nan
10.96	-nan	-nan	-nan
10.98	-nan	-nan	-nan
11	-nan	-nan	-nan
11.02	-nan	-nan	-nan
11.04	-nan	-nan	-nan
11.06	-nan	-nan	-nan
11.08	-nan	-nan	-nan
11.1	-nan	-nan	-nan
11.12	-nan	-nan	-nan
11.14	-nan	-nan	-nan
11.16	-nan	-nan	-nan
11.18	-nan	-nan	-nan
11.2	-nan	-nan	-nan
11.22	-nan	-nan	-nan
11.24	-nan	-nan	-nan
11.26	-nan	-nan	-nan
11.28	-nan	-nan	-nan
11.3	-nan	-nan	-nan
11.32	-nan	-nan	-nan
11.34	-nan	-nan	-nan
11.36	-nan	-nan	-nan
11.38	-nan	-nan	-nan
11.4	-nan	-nan	-nan
11.42	-nan	-nan	-nan
11.44	-nan	-nan	-nan
11.46	-nan	-nan	-nan
11.48	-nan	-nan	-nan
11.5	-nan	-nan	-nan
11.52	-nan	-nan	-nan
11.54	-nan	-nan	-nan
11.56	-nan	-nan	-nan
11.58	-nan	-nan	-nan
11.6	-nan	-nan	-nan
11.62	-nan	-nan	-nan
11.64	-nan	-nan	-nan
11.66	-nan	-nan	-nan
11.68	-nan	-nan	-nan
11.7	-nan	-nan	-nan
11.72	-nan	-nan	-nan
11.74	-nan	-nan	-nan
11.76	-nan	-nan	-nan
11.78	-nan	-nan	-nan
11.8	-nan	-nan	-nan
11.82	-nan	-nan	-nan
11.84	-nan	-nan	-nan
11.86	-nan	-nan	-nan
11.88	-nan	-nan	-nan
11.9	-nan	-nan	-nan
11.92	-nan	-nan	-nan
11.94	-nan	-nan	-nan
11.96	-nan	-nan	-nan
11.98	-nan	-nan	-nan
12	-nan	-nan	-nan
12.02	-nan	-nan	-nan
12.04	-nan	-nan	-nan
12.06	-nan	-nan	-nan
12.08	-nan	-nan	-nan
12.1	-nan	-nan	-nan
12.12	-nan	-nan	-nan
12.14	-nan	-nan	-nan
12.16	-nan	-nan	-nan
12.18	-nan	-nan	-nan
12.2	-nan	-nan	-nan
12.22	-nan	-nan	-nan
12.24	-nan	-nan	-nan
12.26	-nan	-nan	-nan
12.28	-nan	-nan	-nan
12.3	-nan	-nan	-nan
12.32	-nan	-nan	-nan
12.34	-nan	-nan	-nan
12.36	-nan	-nan	-nan
12.38	-nan	-nan	-nan
12.4	-nan	-nan	-nan
12.42	-nan	-nan	-nan
12.44	-nan	-nan	-nan
12.46	-nan	-nan	-nan
12.48	-nan	-nan	-nan
12.5	-nan	-nan	-nan
12.52	-nan	-nan	-nan
12.54	-nan	-nan	-nan
12.56	-nan	-nan	-nan
12.58	-nan	-nan	-nan
12.6	-nan	-nan	-nan
12.62	-nan	-nan	-nan
12.64	-nan	-nan	-nan
12.66	-nan	-nan	-nan
12.68	-nan	-nan	-nan
12.7	-nan	-nan	-nan
12.72	-nan	-nan	-nan
12.74	-nan	-nan	-nan
12.76	-nan	-nan	-nan
12.78	-nan	-nan	-nan
12.8	-nan	-nan	-nan
12.82	-nan	-nan	-nan
12.84	-nan	-nan	-nan
12.86	-nan	-nan	-nan
12.88	-nan	-nan	-nan
12.9	-nan	-nan	-nan
12.92	-nan	-nan	-nan
12.94	-nan	-nan	-nan
12.96	-nan	-nan	-nan
12.98	-nan	-nan	-nan
13	-nan	-nan	-nan
13.02	-nan	-nan	-nan
13.04	-nan	-nan	-nan
13.06	-nan	-nan	-nan
13.08	-nan	-nan	-nan
13.1	-nan	-nan	-nan
13.12	-nan	-nan	-nan
13.14	-nan	-nan	-nan
13.16	-nan	-nan	-nan
13.18	-nan	-nan	-nan
13.2	-nan	-nan	-nan
13.22	-nan	-nan	-nan
13.24	-nan	-nan	-nan
13.26	-nan	-nan	-nan
13.28	-nan	-nan	-nan
13.3	-nan	-nan	-nan
13.32	-nan	-nan	-nan
13.34	-nan	-nan	-nan
13.36	-nan	-nan	-nan
13.38	-nan	-nan	-nan
13.4	-nan	-nan	-nan
13.42	-nan	-nan	-nan
13.44	-nan	-nan	-nan
13.46	-nan	-nan	-nan
13.48	-nan	-nan	-nan
13.5	-nan	-nan	-nan
13.52	-nan	-nan	-nan
13.54	-nan	-nan	-nan
13.56	-nan	-nan	-nan
13.58	-nan	-nan	-nan
13.6	-nan	-nan	-nan
13.62	-nan	-nan	-nan
13.64	-nan	-nan	-nan
13.66	-nan	-nan	-nan
13.68	-nan	-nan	-nan
13.7	-nan	-nan	-nan
13.72	-nan	-nan	-nan
13.74	-nan	-nan	-nan
13.76	-nan	-nan	-nan
13.78	-nan	-nan	-nan
13.8	-nan	-nan	-nan
13.82	-nan	-nan	-nan
13.84	-nan	-nan	-nan
13.86	-nan	-nan	-nan
13.88	-nan	-nan	-nan
13.9	-nan	-nan	-nan
13.92	-nan	-nan	-nan
13.94	-nan	-nan	-nan
13.96	-nan	-nan	-nan
13.98	-nan	-nan	-nan
14	-nan	-nan	-nan
14.02	-nan	-nan	-nan
14.04	-nan	-nan	-nan
14.06	-nan	-nan	-nan
14.08	-nan	-nan	-nan
14.1	-nan	-nan	-nan
14.12	-nan	-nan	-nan
14.14	-nan	-nan	-nan
14.16	-nan	-nan	-nan
14.18	-nan	-nan	-nan
14.2	-nan	-nan	-nan
14.22	-nan	-nan	-nan
14.24	-nan	-nan	-nan
14.26	-nan	-nan	-nan
14.28	-nan	-nan	-nan
14.3	-nan	-nan	-nan
14.32	-nan	-nan	-nan
14.34	-nan	-nan	-nan
14.36	-nan	-nan	-nan
14.38	-nan	-nan	-nan
14.4	-nan	-nan	-nan
14.42	-nan	-nan	-nan
14.44	-nan	-nan	-nan
14.46	-nan	-nan	-nan
14.48	-nan	-nan	-nan
14.5	-nan	-nan	-nan
14.52	-nan	-nan	-nan
14.54	-nan	-nan	-nan
14.56	-nan	-nan	-nan
14.58	-nan	-nan	-nan
14.6	-nan	-nan	-nan
14.62	-nan	-nan	-nan
14.64	-nan	-nan	-nan
14.66	-nan	-nan	-nan
14.68	-nan	-nan	-nan
14.7	-nan	-nan	-nan
14.72	-nan	-nan	-nan
14.74	-nan	-nan	-nan
14.76	-nan	-nan	-nan
14.78	-nan	-nan	-nan
14.8	-nan	-nan	-nan
14.82	-nan	-nan	-nan
14.84	-nan	-nan	-nan
14.86	-nan	-nan	-nan
14.88	-nan	-nan	-nan
14.9	-nan	-nan	-nan
14.92	-nan	-nan	-nan
14.94	-nan	-nan	-nan
14.96	-nan	-nan	-nan
14.98	-nan	-nan	-nan
15	-nan	-nan	-nan
15.02	-nan	-nan	-nan
15.04	-nan	-nan	-nan
15.06	-nan	-nan	-nan
15.08	-nan	-nan	-nan
15.1	-nan	-nan	-nan
15.12	-nan	-nan	-nan
15.14	-nan	-nan	-nan
15.16	-nan	-nan	-nan
15.18	-nan	-nan	-nan
15.2	-nan	-nan	-nan
15.22	-nan	-nan	-nan
15.24	-nan	-nan	-nan
15.26	-nan	-nan	-nan
15.28	-nan	-nan	-nan
15.3	-nan	-nan	-nan
15.32	-nan	-nan	-nan
15.34	-nan	-nan	-nan
15.36	-nan	-nan	-nan
15.38	-nan	-nan	-nan
15.4	-nan	-nan	-nan
15.42	-nan	-nan	-nan
15.44	-nan	-nan	-nan
15.46	-nan	-nan	-nan
15.48	-nan	-nan	-nan
15.5	-nan	-nan	-nan
15.52	-nan	-nan	-nan
15.54	-nan	-nan	-nan
15.56	-nan	-nan	-nan
15.58	-nan	-nan	-nan
15.6	-nan	-nan	-nan
15.62	-nan	-nan	-nan
15.64	-nan	-nan	-nan
15.66	-nan	-nan	-nan
15.68	-nan	-nan	-nan
15.7	-nan	-nan	-nan
15.72	-nan	-nan	-nan
15.74	-nan	-nan	-nan
15.76	-nan	-nan	-nan
15.78	-nan	-nan	-nan
15.8	-nan	-nan	-nan
15.82	-nan	-nan	-nan
15.84	-nan	-nan	-nan
15.86	-nan	-nan	-nan
15.88	-nan	-nan	-nan
15.9	-nan	-nan	-nan
15.92	-nan	-nan	-nan
15.94	-nan	-nan	-nan
15.96	-nan	-nan	-nan
15.98	-nan	-nan	-nan
16	-nan	-nan	-nan
16.02	-nan	-nan	-nan
16.04	-nan	-nan	-nan
16.06	-nan	-nan	-nan
16.08	-nan	-nan	-nan
16.1	-nan	-nan	-nan
16.12	-nan	-nan	-nan
16.14	-nan	-nan	-nan
16.16	-nan	-nan	-nan
16.18	-nan	-nan	-nan
16.2	-nan	-nan	-nan
16.22	-nan	-nan	-nan
16.24	-nan	-nan	-nan
16.26	-nan	-nan	-nan
16.28	-nan	-nan	-nan
16.3	-nan	-nan	-nan
16.32	-nan	-nan	-nan
16.34	-nan	-nan	-nan
16.36	-nan	-nan	-nan
16.38	-nan	-nan	-nan
16.4	-nan	-nan	-nan
16.42	-nan	-nan	-nan
16.44	-nan	-nan	-nan
16.46	-nan	-nan	-nan
16.48	-nan	-nan	-nan
16.5	-nan	-nan	-nan
16.52	-nan	-nan	-nan
16.54	-nan	-nan	-nan
16.56	-nan	-nan	-nan
16.58	-nan	-nan	-nan
16.6	-nan	-nan	-nan
16.62	-nan	-nan	-nan
16.64	-nan	-nan	-nan
16.66	-nan	-nan	-nan
16.68	-nan	-nan	-nan
16.7	-nan	-nan	-nan
16.72	-nan	-nan	-nan
16.74	-nan	-nan	-nan
16.76	-nan	-nan	-nan
16.78	-nan	-nan	-nan
16.8	-nan	-nan	-nan
16.82	-nan	-nan	-nan
16.84	-nan	-nan	-nan
16.86	-nan	-nan	-nan
16.88	-nan	-nan	-nan
16.9	-nan	-nan	-nan
16.92	-nan	-nan	-nan
16.94	-nan	-nan	-nan
16.96	-nan	-nan	-nan
16.98	-nan	-nan	-nan
17	-nan	-nan	-nan
17.02	-nan	-nan	-nan
17.04	-nan	-nan	-nan
17.06	-nan	-nan	-nan
17.08	-nan	-nan	-nan
17.1	-nan	-nan	-nan
17.12	-nan	-nan	-nan
17.14	-nan	-nan	-nan
17.16	-nan	-nan	-nan
17.18	-nan	-nan	-nan
17.2	-nan	-nan	-nan
17.22	-nan	-nan	-nan
17.24	-nan	-nan	-nan
17.26	-nan	-nan	-nan
17.28	-nan	-nan	-nan
17.3	-nan	-nan	-nan
17.32	-nan	-nan	-nan
17.34	-nan	-nan	-nan
17.36	-nan	-nan	-nan
17.38	-nan	-nan	-nan
17.4	-nan	-nan	-nan
17.42	-nan	-nan	-nan
17.44	-nan	-nan	-nan
17.46	-nan	-nan	-nan
17.48	-nan	-nan	-nan
17.5	-nan	-nan	-nan
17.52	-nan	-nan	-nan
